Location,Property_Type,Sqft,BHK,Age,Metro_Dist,Amenities_Score,ROI_Pct,Demand_Index,Price
C-Scheme,Penthouse,4536,5,10,2.56,9,8.6,80,75880000.0
Tonk Road,Apartment/Flat,589,1,7,3.48,6,3.76,96,5390000.0
Shyam Nagar,Apartment/Flat,1480,2,14,8.45,6,8.47,81,11220000.0
Raja Park,Residential Plot,3168,0,10,2.95,1,6.67,59,33470000.0
Kalwar Road,Residential Plot,3609,0,12,9.71,2,8.39,74,12640000.0
Jagatpura,Builder Floor,1959,2,13,10.27,4,7.31,59,10050000.0
Jagatpura,Independent Villa,2506,3,10,10.34,6,6.6,43,14490000.0
Tonk Road,Penthouse,4361,5,7,7.16,8,6.55,65,33320000.0
Jagatpura,Penthouse,3161,5,6,8.43,8,9.17,42,20990000.0
Ajmer Road,Residential Plot,1053,0,0,0.89,2,8.72,69,6080000.0
Mansarovar,Residential Plot,1417,0,9,2.7,1,8.71,48,10080000.0
Bapu Nagar,Apartment/Flat,1592,3,16,0.39,3,6.15,61,20130000.0
Civil Lines,Independent Villa,2655,4,14,10.91,9,7.95,49,37990000.0
Jagatpura,Penthouse,4055,5,15,6.99,10,6.46,92,26210000.0
Tonk Road,Apartment/Flat,1025,1,4,10.34,7,9.78,73,6820000.0
C-Scheme,Apartment/Flat,1296,3,12,8.13,7,7.13,87,22120000.0
Vaishali Nagar,Apartment/Flat,1157,1,9,10.94,4,7.86,80,8320000.0
Kalwar Road,Apartment/Flat,1995,1,10,11.85,5,7.08,37,6830000.0
Malviya Nagar,Independent Villa,4217,3,19,8.28,8,5.98,80,42210000.0
Kalwar Road,Residential Plot,4050,0,5,11.03,3,11.77,83,14030000.0
Jagatpura,Independent Villa,3079,4,9,6.9,5,4.79,80,18170000.0
Civil Lines,Builder Floor,531,2,13,9.78,5,9.02,97,7620000.0
Bapu Nagar,Residential Plot,3619,0,15,0.51,2,7.94,82,45880000.0
Raja Park,Independent Villa,2393,5,7,11.42,7,7.41,43,29140000.0
Civil Lines,Apartment/Flat,556,2,13,9.43,5,4.17,54,7030000.0
Kalwar Road,Apartment/Flat,2147,2,14,3.75,5,5.58,87,8770000.0
Bapu Nagar,Independent Villa,3731,4,14,11.56,7,4.48,88,45480000.0
Malviya Nagar,Builder Floor,541,1,13,10.35,6,6.91,71,4700000.0
Kalwar Road,Independent Villa,1947,3,6,1.94,9,8.98,57,9470000.0
Malviya Nagar,Independent Villa,3691,3,4,11.55,8,9.37,86,37920000.0
Raja Park,Apartment/Flat,1928,1,5,7.08,8,4.58,88,21620000.0
Shyam Nagar,Builder Floor,1290,1,8,4.24,8,5.16,62,11690000.0
Pratap Nagar,Builder Floor,565,2,12,9.8,7,7.72,91,3330000.0
Vaishali Nagar,Builder Floor,2024,2,3,5.21,3,9.35,52,19380000.0
Bapu Nagar,Apartment/Flat,2148,2,15,8.65,7,8.04,61,26670000.0
C-Scheme,Residential Plot,1323,0,9,9.13,2,6.75,44,20420000.0
Civil Lines,Builder Floor,778,3,5,4.21,7,7.26,92,11610000.0
Sitapura,Apartment/Flat,2349,2,2,8.27,8,8.24,84,10650000.0
Pratap Nagar,Apartment/Flat,2091,1,2,2.11,8,3.69,78,11590000.0
Raja Park,Penthouse,4321,5,15,6.15,8,8.24,94,50480000.0
Shyam Nagar,Penthouse,5438,4,10,6.25,10,4.39,87,43060000.0
Pratap Nagar,Independent Villa,4870,3,10,9.86,9,7.86,83,25560000.0
Malviya Nagar,Apartment/Flat,2293,3,19,8.19,7,9.14,49,22900000.0
Bapu Nagar,Residential Plot,4395,0,6,2.17,1,9.23,67,51560000.0
Jagatpura,Builder Floor,1253,1,16,2.63,8,5.69,49,7810000.0
Ajmer Road,Penthouse,5166,5,18,7.97,8,8.67,88,30440000.0
Kalwar Road,Residential Plot,951,0,18,6.78,3,13.44,56,1880000.0
Sitapura,Builder Floor,1403,2,6,4.68,4,4.85,69,6090000.0
Jagatpura,Penthouse,5248,5,16,11.72,7,4.06,35,26930000.0
Jagatpura,Builder Floor,1608,2,10,0.76,6,6.99,75,9210000.0
Tonk Road,Penthouse,4486,5,9,11.07,10,7.55,77,33500000.0
C-Scheme,Penthouse,4507,4,17,7.78,9,7.94,66,77150000.0
Bapu Nagar,Independent Villa,3706,4,15,1.83,7,8.93,97,48980000.0
Malviya Nagar,Penthouse,5289,4,14,2.94,8,3.92,90,56420000.0
Civil Lines,Apartment/Flat,1813,2,19,6.69,3,6.33,94,22790000.0
Malviya Nagar,Independent Villa,3242,3,7,7.98,8,8.17,84,37180000.0
Bapu Nagar,Independent Villa,2853,3,12,4.0,7,5.93,76,36560000.0
Bapu Nagar,Penthouse,4566,4,9,10.95,8,6.51,62,58850000.0
Jagatpura,Apartment/Flat,805,1,3,4.49,3,4.3,73,4730000.0
Sitapura,Apartment/Flat,1608,1,9,7.16,4,5.95,64,4900000.0
Bapu Nagar,Penthouse,3885,4,1,3.6,8,4.98,98,51870000.0
Kalwar Road,Builder Floor,2153,3,11,8.5,8,3.86,42,9580000.0
Pratap Nagar,Builder Floor,560,3,6,5.26,5,7.37,37,4340000.0
Bapu Nagar,Independent Villa,4587,4,0,10.62,7,8.81,56,57220000.0
Malviya Nagar,Independent Villa,1983,5,14,10.88,6,5.92,52,20830000.0
Malviya Nagar,Penthouse,4459,4,14,4.87,8,3.63,92,45520000.0
Mansarovar,Apartment/Flat,2206,1,10,11.34,6,5.41,98,16170000.0
Bapu Nagar,Residential Plot,4265,0,14,8.85,2,7.45,50,48690000.0
Pratap Nagar,Apartment/Flat,2412,3,1,6.35,6,5.34,87,14630000.0
Mansarovar,Builder Floor,2318,3,2,9.55,8,4.31,61,19150000.0
Tonk Road,Builder Floor,1827,1,1,9.68,4,8.71,76,12760000.0
Jagatpura,Builder Floor,2134,1,5,2.07,8,7.86,44,14210000.0
Raja Park,Penthouse,4416,4,1,11.64,7,8.73,98,49640000.0
Bapu Nagar,Apartment/Flat,2179,2,18,5.35,3,5.84,49,27310000.0
Mansarovar,Apartment/Flat,1610,3,13,6.26,6,3.68,90,12690000.0
Vaishali Nagar,Independent Villa,4641,5,17,7.48,5,7.26,98,40020000.0
Kalwar Road,Builder Floor,1300,1,14,6.09,8,9.52,66,5240000.0
Shyam Nagar,Apartment/Flat,1421,1,4,1.56,4,4.68,97,14310000.0
Raja Park,Independent Villa,2292,5,9,2.49,6,7.47,98,27550000.0
Sitapura,Independent Villa,3976,4,10,8.53,6,8.05,43,16230000.0
Kalwar Road,Independent Villa,4484,3,14,1.5,5,7.06,44,18300000.0
Civil Lines,Builder Floor,1368,1,13,7.98,5,5.77,85,17020000.0
Sitapura,Builder Floor,1539,3,7,7.52,7,6.71,63,6980000.0
Ajmer Road,Builder Floor,1570,1,7,1.87,5,9.21,39,8860000.0
Sitapura,Independent Villa,3632,4,3,4.6,9,6.61,35,16770000.0
Civil Lines,Residential Plot,1852,0,17,9.59,3,14.05,99,21000000.0
Sitapura,Apartment/Flat,1085,2,15,9.54,6,7.02,39,3600000.0
Jagatpura,Independent Villa,4539,5,6,6.85,9,6.36,89,28240000.0
Ajmer Road,Apartment/Flat,2180,3,10,4.75,8,6.82,70,14780000.0
Tonk Road,Builder Floor,2395,3,15,10.85,7,7.96,77,16910000.0
Mansarovar,Penthouse,5645,4,8,11.35,7,9.06,89,40630000.0
C-Scheme,Penthouse,3393,5,3,1.41,8,7.98,65,59890000.0
Tonk Road,Residential Plot,3964,0,13,4.86,1,9.44,99,25220000.0
Bapu Nagar,Builder Floor,1913,2,7,7.5,8,7.16,78,22660000.0
C-Scheme,Builder Floor,1631,2,17,1.41,8,4.93,45,26440000.0
Jagatpura,Penthouse,4338,4,11,9.27,8,8.27,97,24680000.0
Vaishali Nagar,Penthouse,4736,4,0,6.98,9,4.46,35,42480000.0
Tonk Road,Penthouse,3817,5,10,5.27,8,4.97,97,30050000.0
Tonk Road,Apartment/Flat,1424,2,19,9.39,7,8.42,64,10370000.0
Ajmer Road,Builder Floor,1672,2,10,3.8,8,6.01,92,11540000.0
Bapu Nagar,Apartment/Flat,1947,1,16,8.74,4,3.84,61,21880000.0
Kalwar Road,Builder Floor,2247,1,16,1.5,6,7.59,82,9180000.0
Ajmer Road,Apartment/Flat,1852,1,2,9.5,3,4.86,52,9780000.0
Vaishali Nagar,Independent Villa,1829,3,2,2.34,5,9.28,88,17440000.0
Malviya Nagar,Builder Floor,1844,3,0,0.34,6,8.41,56,21910000.0
Kalwar Road,Penthouse,5736,4,5,1.88,7,6.56,65,24030000.0
Tonk Road,Builder Floor,1281,1,14,4.65,6,8.52,74,8810000.0
Mansarovar,Builder Floor,2452,3,10,6.35,3,9.08,50,19130000.0
Pratap Nagar,Penthouse,5769,5,9,10.53,10,6.89,43,28560000.0
Shyam Nagar,Penthouse,5643,4,14,3.12,8,5.03,96,49330000.0
Malviya Nagar,Penthouse,3189,5,2,6.02,7,4.38,97,34420000.0
Ajmer Road,Residential Plot,1799,0,12,11.55,2,14.26,48,7180000.0
Vaishali Nagar,Residential Plot,2624,0,6,3.87,1,11.68,57,22350000.0
Bapu Nagar,Builder Floor,1828,2,2,1.47,3,3.51,74,24760000.0
Jagatpura,Penthouse,3363,5,14,10.15,9,5.81,92,20040000.0
Kalwar Road,Residential Plot,4488,0,7,5.39,1,10.92,46,16230000.0
Tonk Road,Independent Villa,3862,3,8,9.65,6,8.32,47,25580000.0
Kalwar Road,Independent Villa,4351,5,11,5.7,5,3.78,77,18370000.0
Raja Park,Residential Plot,2918,0,11,3.72,2,11.84,65,30990000.0
Raja Park,Apartment/Flat,1383,3,11,9.75,3,4.22,86,14920000.0
Civil Lines,Penthouse,4943,4,0,7.57,7,6.02,91,67050000.0
Vaishali Nagar,Penthouse,4856,5,19,11.77,7,5.69,58,42110000.0
Vaishali Nagar,Builder Floor,2198,3,19,11.46,7,8.85,78,18640000.0
Pratap Nagar,Penthouse,5263,4,18,7.79,7,4.45,40,25820000.0
Tonk Road,Residential Plot,4401,0,17,10.2,2,10.98,60,28110000.0
Jagatpura,Penthouse,3644,4,19,0.57,10,5.7,84,21200000.0
Tonk Road,Apartment/Flat,1646,1,4,5.59,7,7.52,93,13510000.0
Shyam Nagar,Independent Villa,4030,4,1,4.88,5,5.96,51,36250000.0
Malviya Nagar,Penthouse,4412,4,1,1.61,10,6.95,92,49250000.0
Jagatpura,Penthouse,5562,5,13,7.57,10,5.72,77,33630000.0
Shyam Nagar,Independent Villa,2606,4,9,8.45,6,9.03,37,24290000.0
Civil Lines,Residential Plot,2198,0,8,5.04,3,10.13,88,28890000.0
Sitapura,Penthouse,4757,5,9,5.89,8,8.1,42,19830000.0
Civil Lines,Independent Villa,3871,3,4,1.65,7,7.79,63,52620000.0
Pratap Nagar,Independent Villa,3177,3,9,5.39,9,4.57,78,17190000.0
Shyam Nagar,Residential Plot,2691,0,12,9.63,3,11.68,57,21740000.0
Ajmer Road,Independent Villa,3898,4,14,11.06,9,4.06,80,22070000.0
Tonk Road,Independent Villa,1659,5,3,10.31,5,4.26,78,13750000.0
Kalwar Road,Penthouse,5749,4,2,8.25,7,6.86,74,23690000.0
Ajmer Road,Apartment/Flat,2242,1,2,2.63,4,6.34,74,12680000.0
C-Scheme,Residential Plot,3768,0,13,1.05,3,13.82,49,57490000.0
Malviya Nagar,Penthouse,4680,4,15,3.48,10,8.29,86,51980000.0
Kalwar Road,Apartment/Flat,1687,3,14,7.52,8,5.28,95,7880000.0
Pratap Nagar,Independent Villa,4769,3,12,3.03,5,6.55,37,25930000.0
Malviya Nagar,Penthouse,3360,4,6,2.03,7,8.88,57,36670000.0
Bapu Nagar,Builder Floor,2078,2,11,2.69,3,9.28,84,25950000.0
Ajmer Road,Builder Floor,851,2,17,0.84,5,9.73,42,4760000.0
Shyam Nagar,Independent Villa,2652,4,15,4.76,8,4.68,61,23960000.0
Pratap Nagar,Residential Plot,1373,0,15,5.88,3,7.04,59,5860000.0
Sitapura,Apartment/Flat,1229,1,7,6.1,5,4.01,58,4670000.0
Tonk Road,Independent Villa,3966,4,11,0.84,6,9.05,57,30070000.0
Kalwar Road,Builder Floor,856,2,12,2.41,8,3.91,78,4780000.0
Tonk Road,Apartment/Flat,960,1,0,3.83,8,5.85,93,8490000.0
Mansarovar,Residential Plot,4348,0,12,7.48,2,7.61,61,28260000.0
Ajmer Road,Apartment/Flat,1833,2,13,8.94,8,9.34,52,10500000.0
Malviya Nagar,Residential Plot,2343,0,12,7.49,3,6.73,39,21510000.0
Malviya Nagar,Independent Villa,2399,5,3,6.08,6,5.27,79,26850000.0
Vaishali Nagar,Apartment/Flat,2375,1,9,5.29,8,7.73,87,19610000.0
Jagatpura,Apartment/Flat,2191,1,10,8.55,6,7.23,57,12110000.0
Mansarovar,Residential Plot,3832,0,17,8.47,2,9.25,93,26510000.0
Shyam Nagar,Penthouse,4824,5,10,10.35,10,9.51,83,49450000.0
Raja Park,Independent Villa,2178,4,14,9.49,6,6.83,97,24800000.0
Shyam Nagar,Builder Floor,1208,3,15,11.13,5,5.06,63,10400000.0
Malviya Nagar,Apartment/Flat,635,1,8,1.3,3,6.11,56,6200000.0
Vaishali Nagar,Apartment/Flat,766,1,16,6.33,3,9.25,82,5500000.0
Raja Park,Independent Villa,2642,3,1,0.73,5,8.85,46,31660000.0
Pratap Nagar,Penthouse,4579,5,18,7.87,7,3.96,84,23930000.0
C-Scheme,Independent Villa,1688,3,10,1.33,7,6.76,60,29830000.0
Shyam Nagar,Independent Villa,4543,4,8,3.34,8,7.95,59,40850000.0
Shyam Nagar,Penthouse,5488,4,10,9.94,7,8.22,43,50660000.0
Jagatpura,Builder Floor,901,2,8,9.29,8,6.84,80,6010000.0
Vaishali Nagar,Builder Floor,1928,3,10,7.08,4,5.47,38,15610000.0
Raja Park,Builder Floor,1678,3,16,2.99,7,3.57,79,20250000.0
Civil Lines,Residential Plot,1902,0,2,2.19,1,11.55,44,24420000.0
Bapu Nagar,Builder Floor,1722,2,17,3.91,3,8.98,89,18940000.0
Vaishali Nagar,Builder Floor,1657,3,14,6.17,7,9.52,45,14300000.0
C-Scheme,Penthouse,5898,4,3,4.17,10,8.14,86,93300000.0
Shyam Nagar,Independent Villa,2586,5,0,5.89,6,9.62,35,26550000.0
Ajmer Road,Apartment/Flat,566,1,15,11.63,3,8.52,49,1580000.0
Tonk Road,Residential Plot,3823,0,5,5.26,2,10.6,42,27370000.0
C-Scheme,Penthouse,3512,4,9,10.69,8,8.5,84,52560000.0
Malviya Nagar,Apartment/Flat,1762,3,5,3.52,7,8.68,99,19260000.0
C-Scheme,Independent Villa,3249,4,15,4.17,6,9.14,96,52050000.0
Raja Park,Residential Plot,4171,0,8,1.94,2,12.46,98,45110000.0
Civil Lines,Independent Villa,4883,4,9,0.74,6,5.9,92,62740000.0
Ajmer Road,Penthouse,3901,4,12,10.22,8,8.91,66,21740000.0
Jagatpura,Builder Floor,1952,2,4,2.18,6,4.93,48,12790000.0
Raja Park,Independent Villa,4916,3,2,1.4,9,9.66,38,56990000.0
Shyam Nagar,Builder Floor,1495,3,12,9.19,8,4.56,81,13930000.0
Pratap Nagar,Residential Plot,1259,0,5,6.62,1,8.43,53,4890000.0
Pratap Nagar,Penthouse,4745,5,19,4.09,8,8.43,70,24060000.0
Bapu Nagar,Independent Villa,3902,3,1,1.88,8,8.32,42,49440000.0
Shyam Nagar,Builder Floor,1144,2,12,5.37,5,9.06,79,10860000.0
C-Scheme,Penthouse,3059,5,19,3.63,7,6.25,96,45680000.0
Jagatpura,Independent Villa,3710,5,2,3.02,5,7.17,73,22120000.0
C-Scheme,Residential Plot,1961,0,12,5.92,2,12.13,82,28930000.0
Vaishali Nagar,Residential Plot,1702,0,16,5.19,2,7.54,37,12590000.0
Civil Lines,Independent Villa,3539,4,11,5.07,7,3.67,54,49520000.0
Sitapura,Independent Villa,2038,4,9,7.2,9,5.78,74,9260000.0
Tonk Road,Penthouse,5796,5,8,6.78,8,7.57,93,41730000.0
C-Scheme,Builder Floor,2236,3,14,0.8,4,5.76,71,36700000.0
Malviya Nagar,Builder Floor,1568,2,1,4.6,6,5.78,69,16580000.0
Ajmer Road,Builder Floor,1068,3,17,0.35,8,8.17,76,6920000.0
Kalwar Road,Residential Plot,2772,0,5,11.93,2,13.37,80,9440000.0
Vaishali Nagar,Independent Villa,4913,3,17,2.72,9,6.71,41,44140000.0
Mansarovar,Apartment/Flat,551,3,1,9.6,8,7.26,59,6000000.0
Sitapura,Builder Floor,866,1,4,0.87,4,6.41,52,4310000.0
Mansarovar,Penthouse,4426,5,4,3.57,7,7.59,69,35240000.0
Bapu Nagar,Apartment/Flat,2489,2,15,7.79,6,8.48,63,30560000.0
Tonk Road,Residential Plot,2325,0,4,0.35,3,6.71,86,16920000.0
Pratap Nagar,Independent Villa,4377,4,6,11.94,5,8.24,55,23550000.0
Malviya Nagar,Penthouse,5318,4,6,10.71,7,7.77,44,53700000.0
Mansarovar,Builder Floor,728,2,9,6.11,8,4.27,79,6660000.0
Vaishali Nagar,Residential Plot,2645,0,0,4.52,3,10.3,98,21840000.0
Shyam Nagar,Builder Floor,1672,1,15,2.78,6,4.79,72,14930000.0
C-Scheme,Builder Floor,672,1,9,8.76,8,9.75,47,10860000.0
Mansarovar,Penthouse,5709,4,9,9.5,7,8.17,37,46710000.0
Kalwar Road,Builder Floor,2328,2,6,4.54,6,7.47,41,10180000.0
C-Scheme,Residential Plot,2300,0,4,2.17,1,9.9,51,35970000.0
Jagatpura,Apartment/Flat,544,2,17,3.75,5,4.3,73,3040000.0
Pratap Nagar,Apartment/Flat,1972,3,2,8.19,8,3.81,57,11720000.0
Bapu Nagar,Independent Villa,2826,5,3,8.77,9,9.76,37,34810000.0
Civil Lines,Residential Plot,1270,0,7,1.23,1,9.59,96,15800000.0
Shyam Nagar,Residential Plot,1570,0,9,6.41,1,9.12,80,11420000.0
Shyam Nagar,Residential Plot,2783,0,3,3.05,3,11.23,88,23500000.0
Tonk Road,Independent Villa,2057,5,14,6.43,5,7.8,46,17060000.0
Vaishali Nagar,Independent Villa,2651,4,11,10.45,5,9.53,99,22530000.0
Raja Park,Independent Villa,3356,4,6,6.15,8,6.78,65,40070000.0
Ajmer Road,Penthouse,5046,5,15,1.1,9,4.44,79,33600000.0
Malviya Nagar,Penthouse,4869,4,18,5.22,8,3.73,76,53430000.0
Malviya Nagar,Penthouse,4767,5,12,4.38,8,4.2,40,55520000.0
Malviya Nagar,Residential Plot,2408,0,12,6.66,1,9.63,50,22230000.0
Kalwar Road,Penthouse,4976,5,12,5.84,10,9.25,99,22190000.0
Kalwar Road,Penthouse,5217,5,18,6.59,10,6.54,86,20320000.0
Malviya Nagar,Penthouse,3431,4,16,10.93,7,4.65,61,35100000.0
C-Scheme,Penthouse,5197,4,13,7.59,8,8.53,71,83190000.0
Pratap Nagar,Apartment/Flat,1300,1,6,7.43,6,4.0,40,6820000.0
Civil Lines,Independent Villa,1954,3,13,6.91,7,8.65,53,27840000.0
Civil Lines,Apartment/Flat,1929,2,16,3.0,4,9.5,45,25210000.0
C-Scheme,Builder Floor,1996,3,15,10.31,6,9.07,91,32320000.0
Bapu Nagar,Apartment/Flat,2163,2,14,3.82,6,4.08,48,28030000.0
Mansarovar,Apartment/Flat,1261,2,8,0.79,5,4.71,98,10260000.0
Ajmer Road,Apartment/Flat,1715,3,19,8.81,5,9.48,96,9960000.0
Ajmer Road,Residential Plot,2460,0,15,10.24,1,11.47,79,11150000.0
Bapu Nagar,Penthouse,3482,5,7,11.53,9,8.27,70,41600000.0
Pratap Nagar,Residential Plot,3683,0,11,7.91,1,10.09,44,16700000.0
Kalwar Road,Builder Floor,1345,1,4,7.47,5,7.06,94,5690000.0
C-Scheme,Builder Floor,1056,3,15,4.59,4,5.75,94,17210000.0
Bapu Nagar,Penthouse,3984,5,4,1.34,9,4.21,41,55630000.0
Mansarovar,Independent Villa,1927,5,18,2.59,5,7.23,75,16480000.0
Kalwar Road,Builder Floor,1419,2,9,11.9,7,8.1,96,5990000.0
C-Scheme,Independent Villa,2814,5,4,8.06,6,9.58,63,48220000.0
Malviya Nagar,Residential Plot,2174,0,5,0.91,2,7.2,48,20380000.0
Shyam Nagar,Apartment/Flat,1190,1,12,7.58,5,4.62,45,10380000.0
Sitapura,Independent Villa,1926,3,18,9.96,9,3.74,77,8000000.0
Pratap Nagar,Penthouse,3270,4,8,4.73,7,4.14,83,18140000.0
Kalwar Road,Builder Floor,1908,2,4,3.71,3,7.17,42,8050000.0
Sitapura,Apartment/Flat,2478,2,2,11.67,3,6.68,48,8880000.0
Shyam Nagar,Apartment/Flat,1152,1,10,3.13,4,4.86,98,10580000.0
Raja Park,Residential Plot,2006,0,13,6.05,3,11.75,60,20160000.0
C-Scheme,Builder Floor,711,1,8,1.03,6,7.85,40,11890000.0
Civil Lines,Builder Floor,820,3,13,10.95,8,8.44,42,12190000.0
Pratap Nagar,Residential Plot,4191,0,19,1.21,3,6.9,87,18040000.0
Kalwar Road,Independent Villa,3278,3,11,6.8,8,6.2,48,14880000.0
Tonk Road,Penthouse,5324,4,10,6.48,8,8.04,63,36530000.0
Shyam Nagar,Apartment/Flat,784,1,5,8.1,6,6.91,38,7280000.0
Jagatpura,Residential Plot,4167,0,4,1.84,3,14.2,71,22200000.0
Jagatpura,Residential Plot,1044,0,14,10.76,1,9.27,52,3380000.0
C-Scheme,Residential Plot,1358,0,14,4.24,3,11.42,95,19690000.0
Sitapura,Independent Villa,2859,4,16,8.2,8,7.73,77,11240000.0
Vaishali Nagar,Independent Villa,1866,3,18,2.91,5,4.69,43,16630000.0
Civil Lines,Builder Floor,614,1,17,6.51,5,5.7,68,7940000.0
Jagatpura,Penthouse,4102,5,8,8.4,8,5.26,76,25920000.0
Kalwar Road,Apartment/Flat,1330,2,7,7.81,5,4.66,71,6050000.0
Vaishali Nagar,Penthouse,5006,4,9,6.23,9,6.18,92,43180000.0
Ajmer Road,Residential Plot,3749,0,4,2.71,3,8.08,76,20780000.0
Vaishali Nagar,Residential Plot,3366,0,19,6.93,3,7.47,79,25150000.0
Bapu Nagar,Apartment/Flat,1445,2,6,1.65,8,6.98,92,19540000.0
Tonk Road,Residential Plot,3320,0,18,11.36,1,8.49,54,19850000.0
Vaishali Nagar,Builder Floor,756,1,17,2.11,4,7.5,60,6120000.0
Pratap Nagar,Independent Villa,4236,5,6,11.63,9,8.2,92,24750000.0
Mansarovar,Apartment/Flat,2116,3,1,11.32,4,5.67,84,15750000.0
C-Scheme,Residential Plot,1746,0,2,8.47,1,11.55,40,24940000.0
Kalwar Road,Residential Plot,4455,0,8,2.49,3,11.22,38,16800000.0
Vaishali Nagar,Apartment/Flat,982,2,18,0.53,5,4.37,37,8840000.0
Pratap Nagar,Penthouse,5669,5,2,4.53,9,8.63,69,30620000.0
Civil Lines,Independent Villa,3831,4,3,8.58,5,5.81,72,49150000.0
Mansarovar,Penthouse,4871,4,1,2.38,10,5.41,66,36730000.0
Ajmer Road,Builder Floor,1584,3,2,1.71,6,6.37,55,12080000.0
Mansarovar,Independent Villa,1988,3,1,11.82,8,5.28,70,16430000.0
Vaishali Nagar,Penthouse,5302,5,15,9.08,9,6.43,79,48150000.0
Raja Park,Independent Villa,3604,5,3,8.45,6,6.57,35,37830000.0
Pratap Nagar,Apartment/Flat,1687,2,19,6.6,4,4.19,40,7970000.0
Pratap Nagar,Penthouse,3234,5,12,6.59,10,7.61,54,18590000.0
Kalwar Road,Residential Plot,2644,0,9,8.48,1,6.61,87,9420000.0
Mansarovar,Residential Plot,2467,0,14,4.7,3,7.59,93,16390000.0
Tonk Road,Builder Floor,1710,3,13,10.98,5,8.45,75,11580000.0
C-Scheme,Residential Plot,1415,0,15,7.35,1,9.88,96,20450000.0
C-Scheme,Residential Plot,2048,0,8,2.03,2,14.47,97,31200000.0
C-Scheme,Builder Floor,2370,1,2,10.78,4,6.47,51,34970000.0
Pratap Nagar,Builder Floor,1698,3,5,6.0,3,9.46,84,9570000.0
Mansarovar,Penthouse,3219,4,10,6.9,9,6.76,87,27790000.0
Pratap Nagar,Independent Villa,4614,3,8,1.59,9,3.98,89,25670000.0
Tonk Road,Penthouse,4141,4,5,1.79,9,4.03,59,34330000.0
C-Scheme,Residential Plot,2742,0,17,6.88,2,10.69,50,40890000.0
Tonk Road,Penthouse,3234,4,12,6.5,8,4.49,56,23850000.0
Bapu Nagar,Builder Floor,1266,2,17,0.47,7,7.71,41,16810000.0
C-Scheme,Penthouse,3943,4,10,9.64,9,7.12,95,61580000.0
Malviya Nagar,Apartment/Flat,2258,2,16,10.92,5,8.64,63,20470000.0
Civil Lines,Residential Plot,4413,0,14,1.14,2,12.5,65,60350000.0
Raja Park,Apartment/Flat,1189,3,1,9.01,8,8.69,88,15160000.0
Shyam Nagar,Penthouse,5937,4,13,4.43,10,6.58,40,50870000.0
Vaishali Nagar,Residential Plot,2875,0,19,6.58,3,11.07,47,21820000.0
Mansarovar,Residential Plot,2952,0,8,2.79,1,7.37,54,21560000.0
Mansarovar,Builder Floor,1536,2,14,8.33,5,8.1,81,11230000.0
Raja Park,Residential Plot,3818,0,9,11.1,1,8.72,63,37360000.0
Ajmer Road,Residential Plot,2800,0,14,1.11,3,7.43,94,15440000.0
Pratap Nagar,Apartment/Flat,932,2,17,11.58,5,5.81,94,3670000.0
Raja Park,Residential Plot,1323,0,15,6.7,1,13.43,77,13770000.0
C-Scheme,Independent Villa,3197,3,16,11.8,8,4.72,73,49120000.0
Bapu Nagar,Builder Floor,1978,2,13,6.43,4,5.5,77,23840000.0
Civil Lines,Residential Plot,3055,0,11,2.25,1,11.83,89,40200000.0
Vaishali Nagar,Independent Villa,3775,4,18,7.48,9,6.92,39,34720000.0
Tonk Road,Residential Plot,4058,0,4,10.79,3,10.41,42,27350000.0
Vaishali Nagar,Apartment/Flat,1375,3,10,2.94,3,8.55,87,13570000.0
Raja Park,Residential Plot,4303,0,7,2.72,1,13.84,43,45370000.0
Shyam Nagar,Builder Floor,1626,2,1,5.54,7,7.08,46,16110000.0
C-Scheme,Apartment/Flat,728,3,0,1.57,4,6.42,73,14620000.0
C-Scheme,Builder Floor,1148,3,19,10.67,5,4.31,50,19090000.0
Raja Park,Apartment/Flat,688,3,6,6.66,6,7.13,71,9040000.0
Mansarovar,Apartment/Flat,1288,3,5,11.66,8,6.38,89,11270000.0
Kalwar Road,Residential Plot,2869,0,8,2.7,3,7.29,84,9920000.0
Ajmer Road,Independent Villa,3198,4,1,7.55,8,7.63,47,21540000.0
Sitapura,Apartment/Flat,1104,1,9,7.62,3,8.38,95,3410000.0
Pratap Nagar,Independent Villa,1813,3,8,4.41,5,5.51,70,9750000.0
Sitapura,Independent Villa,4104,3,4,4.95,6,6.68,65,17560000.0
Mansarovar,Independent Villa,4504,5,14,4.55,9,5.75,97,35110000.0
Kalwar Road,Residential Plot,1210,0,1,6.13,2,10.52,58,4230000.0
C-Scheme,Independent Villa,2718,5,0,0.25,9,6.14,69,45120000.0
Tonk Road,Apartment/Flat,1466,2,7,6.41,5,3.67,40,10710000.0
Malviya Nagar,Penthouse,4591,4,14,5.33,7,5.89,92,47920000.0
Jagatpura,Independent Villa,2093,4,13,9.9,6,3.89,88,12420000.0
Shyam Nagar,Penthouse,4944,4,13,9.01,10,6.35,35,43750000.0
Malviya Nagar,Penthouse,3912,5,2,9.39,9,9.73,88,44180000.0
Pratap Nagar,Residential Plot,2756,0,10,6.58,3,8.49,78,12290000.0
Mansarovar,Residential Plot,1135,0,19,11.02,2,7.42,59,5790000.0
Vaishali Nagar,Residential Plot,2544,0,0,9.35,3,8.26,56,21890000.0
Mansarovar,Builder Floor,1004,3,2,3.56,3,7.76,69,8260000.0
